
Code	Day Description	Night Description
1	Sunny	—
2	Mostly Sunny	—
3	Partly Sunny	—
4	Intermittent Clouds	—
5	Hazy Sunshine	—
6	Mostly Cloudy	—
7	Cloudy	Cloudy
8	Dreary (Overcast)	Dreary (Overcast)
11	Fog	Fog
12	Showers	Showers
13	Mostly Cloudy with Showers	—
14	Partly Sunny with Showers	—
15	Thunderstorms	Thunderstorms
16	Mostly Cloudy with Thunderstorms	—
17	Partly Sunny with Thunderstorms	—
18	Rain	Rain
19	Flurries	Flurries
20	Mostly Cloudy with Flurries	—
21	Partly Sunny with Flurries	—
22	Snow	Snow
23	Mostly Cloudy with Snow	—
24	Ice	Ice
25	Sleet	Sleet
26	Freezing Rain	Freezing Rain
29	Rain and Snow	Rain and Snow
30	Hot	Hot
31	Cold	Cold
32	Windy	Windy
33	—	Clear
34	—	Mostly Clear
35	—	Partly Cloudy
36	—	Intermittent Clouds
37	—	Hazy Moonlight
38	—	Mostly Cloudy
39	—	Partly Cloudy with Showers
40	—	Mostly Cloudy with Showers
41	—	Partly Cloudy with Thunderstorms
42	—	Mostly Cloudy with Thunderstorms
43	—	Mostly Cloudy with Flurries
44	—	Mostly Cloudy with Snow
